courier_id,wave_index,tracking_id,courier_wave_start_lng,courier_wave_start_lat,action_type,expect_time
117026369,1,2100076364084446732,121.583408,39.229486,PICKUP,1583377943.238278
117026369,3,2100076387577890245,121.584259,39.236522,DELIVERY,1583383726.458496
10664583,1,2100076398552549371,122.231900,39.360287,PICKUP,1583391077.987493
113632273,1,2100076399535097823,121.677215,39.015737,PICKUP,1583392118.466012
113632273,5,2100076431195768431,121.677022,39.025720,PICKUP,1583407374.088051
10470630,3,2100076406871590253,121.526586,39.295414,DELIVERY,1583401449.344777
118533169,1,2100076388381427179,121.439840,39.198776,PICKUP,1583384472.639240
10272326,3,2100076374555362960,121.533970,39.195117,PICKUP,1583380522.997111
118917177,1,2100076378190185707,121.964645,39.600824,PICKUP,1583380675.062436
118917177,5,2100076421335451181,121.959048,39.591792,PICKUP,1583403503.404395
10636336,1,2100076374895920271,121.424812,39.252568,PICKUP,1583380269.704686
117026449,1,2100076388961552090,121.590080,39.089303,PICKUP,1583384904.529365
117026449,3,2100076397865928589,121.578216,39.107255,DELIVERY,1583391640.809766
117026449,5,2100076406473262251,121.591813,39.106501,PICKUP,1583398562.403765
10665583,3,2100076404312639023,121.441782,39.212925,PICKUP,1583394556.403401
10665583,5,2100076411068712752,121.453585,39.211074,PICKUP,1583401482.471899
10525316,1,2100076378126976702,121.506836,39.078644,PICKUP,1583380534.820920
103135370,1,2100076414399251836,121.418198,39.167543,DELIVERY,1583402684.845654
119071601,1,2100076372848280944,121.537081,39.209133,PICKUP,1583379506.731111
119071601,5,2100076414087333636,121.530206,39.201510,DELIVERY,1583401699.893951
10312874,1,2100076371059738045,121.485060,39.166376,PICKUP,1583379510.310000
102401578,5,2100076425312143072,121.616623,38.987600,PICKUP,1583405586.248461
10649045,1,2100076376830183289,121.580156,39.118541,DELIVERY,1583381877.230736
10649045,5,2100076416729384403,121.574277,39.129864,PICKUP,1583402656.909798
118818985,1,2100076371712083486,121.471269,39.291050,DELIVERY,1583380972.476952
117109065,3,2100076402856461810,121.445135,39.104101,DELIVERY,1583394771.964223
10765017,3,2100076411358840807,121.208898,39.161576,PICKUP,1583400324.823623
116034321,1,2100076382012736721,121.585807,39.102399,DELIVERY,1583383051.016325
122077169,1,2100076418795472132,121.612926,39.114843,PICKUP,1583402581.894278
100002543,1,2100076374713697352,121.662578,39.133852,DELIVERY,1583381120.315977
10248665,1,2100076387955247010,121.405924,39.145027,PICKUP,1583384308.071272
10248665,3,2100076412952184783,121.415621,39.129567,PICKUP,1583400149.277303
10638398,1,2100076367561623119,121.614543,39.156410,PICKUP,1583379417.039254
105226074,1,2100076372038223705,121.478915,39.197551,PICKUP,1583379917.610649
10012508,1,2100076382318691412,121.526848,39.280598,PICKUP,1583383197.417670
10232969,1,2100076361716500411,121.474216,39.106897,PICKUP,1583379291.735265
10232969,3,2100076402313627405,121.466591,39.095281,PICKUP,1583393820.055560
118787185,1,2100076383026939898,121.535638,38.994308,PICKUP,1583382224.429058
118787185,3,2100076420888233826,121.534241,39.005284,DELIVERY,1583404445.980553
